classification,reason,source_id,provider,entity_type,external_id,name_ja,community_id,candidate_community_ids,source_url
auto-applied,approved-external-id,source_moodyz_official,moodyz.label,label,5048,MOODYZ DIVA,label_000001,,https://moodyz.com/works/list/label/5048
auto-applied,approved-external-id,source_moodyz_official,moodyz.label,label,5049,MOODYZ ISM,label_000045,,https://moodyz.com/works/list/label/5049
auto-applied,approved-external-id,source_moodyz_official,moodyz.label,label,5090,MOODYZ REAL,label_000044,,https://moodyz.com/works/list/label/5090
auto-applied,approved-external-id,source_moodyz_official,moodyz.label,label,5409,MOODYZ VALUE,label_000049,,https://moodyz.com/works/list/label/5409
auto-applied,approved-external-id,source_moodyz_official,moodyz.label,label,6879,MOODYZ GATI,label_000040,,https://moodyz.com/works/list/label/6879
auto-applied,approved-external-id,source_moodyz_official,moodyz.label,label,85265,春のパンツまつり,label_000056,,https://moodyz.com/works/list/label/85265
auto-applied,approved-external-id,source_moodyz_official,moodyz.label,label,8916,MOODYZ ASS,label_000051,,https://moodyz.com/works/list/label/8916
auto-applied,approved-external-id,source_moodyz_official,moodyz.label,label,8917,MOODYZ ES,label_000055,,https://moodyz.com/works/list/label/8917
auto-applied,approved-external-id,source_moodyz_official,moodyz.label,label,9288,寝取られ本舗,label_000054,,https://moodyz.com/works/list/label/9288
auto-applied,approved-external-id,source_moodyz_official,moodyz.label,label,9308,まんきつ,label_000043,,https://moodyz.com/works/list/label/9308
auto-applied,approved-external-id,source_moodyz_official,moodyz.label,label,9397,Q-EYE,label_000052,,https://moodyz.com/works/list/label/9397
auto-applied,approved-external-id,source_moodyz_official,moodyz.label,label,9458,MUTTURI,label_000048,,https://moodyz.com/works/list/label/9458
auto-applied,approved-external-id,source_moodyz_official,moodyz.label,label,9483,AVOPEN,label_000059,,https://moodyz.com/works/list/label/9483
auto-applied,approved-external-id,source_moodyz_official,moodyz.label,label,9732,MOODYZ Fresh,label_000042,,https://moodyz.com/works/list/label/9732
auto-applied,approved-external-id,source_moodyz_official,moodyz.label,label,9782,MOODYZ VR,label_000041,,https://moodyz.com/works/list/label/9782
auto-applied,approved-external-id,source_moodyz_official,moodyz.series,series,3489,聖水くらぶ,series_000101,,https://moodyz.com/works/list/series/3489
auto-applied,approved-external-id,source_moodyz_official,moodyz.series,series,3519,W CAST,series_000102,,https://moodyz.com/works/list/series/3519
auto-applied,approved-external-id,source_moodyz_official,moodyz.series,series,3562,聖水痴女ハーレム,series_000103,,https://moodyz.com/works/list/series/3562
auto-applied,approved-external-id,source_moodyz_official,moodyz.series,series,5427,カラミざかり,series_000002,,https://moodyz.com/works/list/series/5427
auto-applied,approved-external-id,source_s1_official,s1.label,label,4355,S1 NO.1 STYLE,label_000081,,https://s1s1s1.com/works/list/label/4355
auto-applied,approved-external-id,source_s1_official,s1.series,series,414,新人NO.1STYLE,series_000001,,https://s1s1s1.com/works/list/series/414
auto-applied,approved-external-id,source_s1_official,s1.series,series,422,おま●こ、くぱぁ,series_000005,,https://s1s1s1.com/works/list/series/422
auto-applied,approved-external-id,source_s1_official,s1.series,series,570,ラブキモメン,series_000006,,https://s1s1s1.com/works/list/series/570
